[ 2026-01-02 03:23:41,287 ] 20 root - INFO - Initiate the data ingestion
[ 2026-01-02 03:23:46,977 ] 66 root - INFO - Performed train test split on the dataframe
[ 2026-01-02 03:23:46,977 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-02 03:23:46,978 ] 76 root - INFO - Exporting train and test file path.
[ 2026-01-02 03:23:47,092 ] 85 root - INFO - Exported train and test file path.
[ 2026-01-02 03:23:47,093 ] 22 root - INFO - Data Initiation Completed
[ 2026-01-02 03:23:47,101 ] 27 root - INFO - Initiate the data Validation
[ 2026-01-02 03:23:47,230 ] 32 root - INFO - Required number of columns:2
[ 2026-01-02 03:23:47,230 ] 33 root - INFO - Data frame has columns:31
[ 2026-01-02 03:23:47,232 ] 32 root - INFO - Required number of columns:2
[ 2026-01-02 03:23:47,232 ] 33 root - INFO - Data frame has columns:31
[ 2026-01-02 03:23:47,481 ] 29 root - INFO - data Validation Completed
[ 2026-01-02 03:23:47,481 ] 33 root - INFO - data Transformation started
[ 2026-01-02 03:23:47,481 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-01-02 03:23:47,481 ] 65 root - INFO - Starting data transformation
[ 2026-01-02 03:23:47,537 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-01-02 03:23:47,537 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-01-02 03:23:47,556 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-02 03:23:47,561 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-02 03:23:47,561 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-02 03:23:47,564 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-02 03:23:47,567 ] 37 root - INFO - data Transformation completed
